,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
378,damaturu,59,NG,1562533891,37,11.75,11.96,92.37,8.61
379,chuy,67,UY,1562533291,65,-33.69,-53.46,45.68,4.61
380,grindavik,0,IS,1562533580,58,63.84,-22.43,59.0,20.8
381,bathurst,100,AU,1562533891,88,-33.42,149.58,48.0,0.22
382,nagaur,65,IN,1562533593,52,27.2,73.74,92.03,21.21
383,baruun-urt,99,MN,1562533891,72,46.68,113.28,58.11,5.53
384,rock sound,27,BS,1562533891,73,24.9,-76.2,83.04,15.05
385,ulladulla,90,AU,1562533892,71,-35.36,150.48,57.2,10.29
386,szydlowiec,6,PL,1562533866,60,51.23,20.86,60.01,1.99
387,nanchong,100,CN,1562533892,97,30.8,106.08,66.84,8.99
388,filingue,5,NE,1562533892,18,14.35,3.32,99.98,4.45
389,evensk,22,RU,1562533892,68,61.92,159.24,55.25,6.8
390,alta floresta,0,BR,1562533892,33,-9.87,-56.08,87.8,6.93
391,traverse city,40,US,1562533822,44,44.76,-85.62,82.0,4.7
392,galveston,75,US,1562533819,65,40.58,-86.19,84.99,4.7
393,waingapu,6,ID,1562533893,91,-9.65,120.26,65.93,9.89
394,rio gallegos,75,AR,1562533574,81,-51.62,-69.22,42.8,5.82
395,faya,20,SA,1562533628,68,18.39,42.45,73.4,4.7
396,stepnyak,100,KZ,1562533893,58,52.83,70.79,60.02,8.68
397,fort nelson,75,CA,1562533893,59,58.81,-122.69,62.6,2.24
398,half moon bay,75,US,1562533561,87,37.46,-122.43,75.99,4.7
399,almaznyy,0,RU,1562533894,68,48.03,40.04,66.2,2.24
400,egersund,75,NO,1562533894,76,58.45,6.0,52.0,14.99
401,north platte,20,US,1562533894,58,41.12,-100.77,82.99,11.41
402,beringovskiy,75,RU,1562533604,68,63.05,179.32,58.1,2.93
403,samarai,33,PG,1562533607,89,-10.62,150.67,74.24,6.29
404,tromso,0,NO,1562533895,54,69.65,18.96,62.6,12.75
405,vardo,40,US,1562533546,62,39.62,-77.74,88.0,3.36
406,ossora,100,RU,1562533895,95,59.24,163.07,46.59,4.94
407,eenhana,0,NA,1562533895,14,-17.48,16.34,62.6,3.36
408,port hardy,75,CA,1562533591,82,50.7,-127.42,60.8,6.93
409,nanakuli,75,US,1562533895,69,21.39,-158.15,86.0,5.82
410,shelburne,20,CA,1562533895,38,44.08,-80.2,81.0,6.93
411,camocim,99,BR,1562533896,81,-2.9,-40.84,78.09,8.37
412,nacogdoches,75,US,1562533891,55,31.6,-94.66,93.99,4.41
413,stillwater,1,US,1562533896,52,36.12,-97.06,91.4,3.53
414,balakhninskiy,98,RU,1562533896,92,58.01,114.28,59.84,2.77
415,collierville,40,US,1562533896,59,35.04,-89.66,96.01,4.7
416,castro,90,CL,1562533555,100,-42.48,-73.76,50.0,14.99
417,codrington,90,AU,1562533552,93,-28.95,153.24,57.2,2.04
418,kuusamo,0,FI,1562533790,71,65.96,29.19,50.0,8.05
419,mehamn,0,NO,1562533547,76,71.03,27.85,48.2,3.36
420,treinta y tres,67,UY,1562533897,70,-33.23,-54.39,43.17,4.83
421,praya,20,ID,1562533618,93,-8.71,116.27,66.2,2.24
422,chernyshevskiy,100,RU,1562533897,85,63.01,112.47,58.13,5.57
423,algiers,40,US,1562533897,39,29.94,-90.04,98.6,10.29
424,toowoomba,6,AU,1562533898,93,-27.56,151.95,55.99,5.82
425,pueblo nuevo,0,AR,1562533898,56,-32.93,-68.73,57.2,4.7
426,chicama,75,PE,1562533898,88,-7.84,-79.15,64.4,8.05
427,coquimbo,0,CL,1562533540,72,-29.95,-71.34,61.0,8.05
428,sri aman,100,MY,1562533898,88,1.24,111.46,75.2,3.06
429,cap malheureux,75,MU,1562533898,83,-19.98,57.61,71.6,9.95
430,palembang,2,ID,1562533898,98,-2.99,104.76,73.05,2.59
431,tafo,99,GH,1562533899,95,6.73,-1.61,72.69,3.42
432,soyo,75,AO,1562533448,83,-6.13,12.37,74.53,11.68
433,zyryanka,100,RU,1562533899,57,65.73,150.89,62.06,13.51
434,marseille,0,FR,1562533864,70,43.3,5.37,84.2,11.41
435,daru,93,PG,1562533899,92,-9.07,143.21,75.0,8.48
436,bom jesus,65,BR,1562533899,49,-9.08,-44.36,81.41,5.1
437,tual,91,ID,1562533900,81,-5.67,132.75,78.33,20.98
438,wagar,54,US,1562533900,39,31.44,-87.99,99.0,3.0
439,seddon,20,AU,1562533630,93,-37.81,144.89,54.0,4.7
440,grand gaube,75,MU,1562533900,83,-20.01,57.66,71.6,9.95
441,byron bay,90,AU,1562533884,93,-28.65,153.62,59.0,2.53
442,listowel,1,CA,1562533901,47,43.73,-80.95,79.0,11.41
443,porto seguro,39,BR,1562533901,84,-16.44,-39.06,65.84,7.11
444,uhlove,0,UA,1562533901,66,44.82,33.6,72.93,8.19
445,ushtobe,0,KZ,1562533901,29,45.25,77.98,78.24,8.9
446,puerto del rosario,40,ES,1562533484,73,28.5,-13.86,73.4,18.34
447,kilindoni,84,TZ,1562533902,81,-7.91,39.67,78.18,13.44
448,paranavai,0,BR,1562533902,36,-23.07,-52.47,64.4,5.82
449,husavik,0,CA,1562533582,22,50.56,-96.99,84.0,3.0
450,merrill,1,US,1562533530,23,42.03,-121.6,77.0,3.36
451,elk point,90,CA,1562533902,77,53.9,-110.9,66.2,4.7
452,amapa,40,HN,1562533902,56,15.09,-87.97,93.2,16.11
453,acuitzio,100,MX,1562533902,40,20.34,-101.98,79.93,4.18
454,benemerito de las americas,30,MX,1562533903,56,16.52,-90.64,88.39,6.15
455,port lincoln,0,AU,1562533568,70,-34.72,135.86,58.13,10.87
456,ottawa,20,CA,1562533680,36,45.42,-75.69,80.01,3.36
457,peniche,20,PT,1562533644,77,39.36,-9.38,68.0,8.05
458,leningradskiy,25,RU,1562533634,62,69.38,178.42,54.19,5.19
459,daly city,75,US,1562533903,87,37.71,-122.46,69.01,4.7
460,iwanai,21,JP,1562533904,90,42.97,140.51,57.11,5.88
461,bereznik,100,RU,1562533904,93,62.86,42.71,57.25,3.74
462,emirdag,0,TR,1562533904,47,39.02,31.15,66.07,2.66
463,yarmolyntsi,100,UA,1562533904,89,49.19,26.84,64.0,7.16
464,pocao de pedras,51,BR,1562533904,92,-4.67,-44.85,76.1,2.35
465,souillac,0,FR,1562533543,73,45.6,-0.6,73.0,5.82
466,asuncion,0,PY,1562533905,34,-25.3,-57.63,64.4,3.36
467,arevashogh,0,AM,1562533905,55,40.85,44.28,66.2,17.22
468,pacific grove,90,US,1562533905,68,36.62,-121.92,81.0,10.29
469,nexo,2,DK,1562533905,82,55.06,15.13,59.0,11.41
470,narsaq,65,GL,1562533558,23,60.91,-46.05,62.6,36.91
471,brownsville,40,US,1562533759,44,25.91,-97.49,96.8,10.29
472,les cayes,78,HT,1562533782,79,18.19,-73.75,82.47,15.97
473,nowy dwor gdanski,20,PL,1562533906,87,54.21,19.12,60.01,6.93
474,oshikango,0,NA,1562533906,14,-17.39,15.89,62.6,3.36
475,zhicheng,93,CN,1562533906,64,35.04,112.59,70.71,3.38
476,kongoussi,2,BF,1562533906,24,13.32,-1.53,98.25,7.94
477,cordeiro,57,BR,1562533808,79,-22.03,-42.36,52.79,5.06
478,mao,40,DO,1562533595,52,19.55,-71.08,93.0,13.87
479,nyurba,74,RU,1562533907,96,63.29,118.35,62.0,4.14
480,kudahuvadhoo,0,MV,1562533907,74,2.67,72.89,83.51,9.69
481,zhangjiakou,75,CN,1562533558,86,40.77,114.88,53.76,5.01
482,tessalit,70,ML,1562533907,21,20.2,1.01,93.63,4.36
483,aykhal,90,RU,1562533907,100,65.95,111.51,55.4,2.24
484,kysyl-syr,49,RU,1562533908,96,63.9,122.77,57.43,6.06
485,jinchang,48,CN,1562533908,66,38.52,102.19,51.54,4.12
486,poum,0,MK,1562533602,53,41.28,20.71,75.2,6.93
487,oskaloosa,20,US,1562533908,55,39.22,-95.31,90.0,3.36
488,chalisgaon,100,IN,1562533908,82,20.46,75.0,77.0,13.13
489,tiruvannamalai,76,IN,1562533908,61,12.23,79.08,78.94,5.77
490,port macquarie,67,AU,1562533560,100,-31.43,152.91,51.01,2.24
491,buenos aires,0,AR,1562533909,54,-34.61,-58.44,53.6,8.05
492,hudson bay,67,CA,1562533909,80,52.86,-102.4,73.13,5.82
493,christchurch,86,NZ,1562533389,100,-43.53,172.64,41.0,1.12
494,vaitape,44,PF,1562533567,83,-16.52,-151.75,78.83,13.91
495,puerto madryn,100,AR,1562533909,51,-42.77,-65.04,55.31,17.49
496,takaungu,40,KE,1562533910,94,-3.68,39.86,75.2,5.82
497,chai badan,100,TH,1562533910,86,15.2,101.13,75.88,4.21
498,lata,72,IN,1562533537,88,30.78,78.62,42.47,2.01
499,imeni poliny osipenko,22,RU,1562533910,73,52.42,136.49,66.72,2.8
500,san quintin,100,PH,1562533625,91,17.54,120.52,73.81,3.44
501,anchorage,20,US,1562533805,53,61.22,-149.89,84.0,8.05
502,turayf,0,SA,1562533910,39,31.68,38.65,82.4,13.87
503,rocha,74,UY,1562533556,77,-34.48,-54.34,42.08,4.21
504,jumla,82,NP,1562533911,94,29.28,82.18,54.48,1.66
505,sangueya,100,GN,1562533911,87,10.7,-14.37,78.2,6.55
506,kenai,1,US,1562533911,60,60.55,-151.26,79.0,6.93
507,bowen,90,AU,1562533911,93,-20.01,148.25,68.0,10.29
508,kamenka,99,MD,1562533545,91,48.03,28.7,64.0,3.13
509,la ronge,90,CA,1562533637,88,55.1,-105.3,64.4,3.36
510,marzuq,86,YE,1562533912,39,14.4,46.47,82.67,5.57
511,ust-maya,78,RU,1562533912,86,60.42,134.54,55.92,5.03
512,rio grande,0,BR,1562533579,57,-32.03,-52.1,51.8,5.82
513,lasa,0,CY,1562533627,88,34.92,32.53,80.6,5.82
514,novokuznetsk,11,RU,1562533912,92,53.76,87.14,53.97,2.19
515,lahij,64,YE,1562533605,39,13.06,44.88,90.28,12.95
516,arlit,0,NE,1562533913,6,18.74,7.39,97.7,13.67
517,tchibanga,39,GA,1562533913,96,-2.92,11.0,68.07,1.45
518,churachandpur,100,IN,1562533913,99,24.33,93.67,71.34,0.6
519,necochea,100,AR,1562533913,79,-38.55,-58.74,48.99,5.01
520,haverfordwest,91,GB,1562533914,63,51.8,-4.97,60.8,8.05
521,erenhot,100,CN,1562533914,30,43.65,111.97,71.04,4.72
522,lorengau,51,PG,1562533601,82,-2.02,147.27,77.84,5.35
523,tumpat,75,MY,1562533914,88,6.2,102.17,77.0,1.12
524,ostrovnoy,47,RU,1562533623,91,68.05,39.51,40.24,20.38
525,puerto madero,0,AR,1562533914,54,-34.61,-58.36,53.6,8.05
526,baijiantan,45,CN,1562533915,36,45.63,85.18,74.58,9.1
527,vila,0,IT,1562533586,69,45.18,8.4,80.01,4.7
528,atikokan,0,CA,1562533915,25,48.76,-91.62,81.86,6.78
529,egvekinot,52,RU,1562533915,40,66.32,-179.17,64.74,4.59
530,calvinia,68,ZA,1562533909,91,-31.47,19.78,45.17,2.73
531,severo-kurilsk,100,RU,1562533629,99,50.68,156.12,42.89,5.66
532,chipata,0,ZM,1562533915,45,-13.64,32.65,60.17,4.68
533,upington,0,ZA,1562533916,62,-28.46,21.24,51.8,6.93
534,florianopolis,0,BR,1562533669,62,-27.6,-48.55,61.0,5.82
535,dingle,23,PH,1562533916,88,11.0,122.67,74.46,2.26
536,xai-xai,0,MZ,1562533916,77,-25.04,33.64,69.4,11.21
537,komsomolskiy,70,RU,1562533590,64,67.55,63.78,47.64,16.44
538,attock,20,PK,1562533916,66,33.77,72.36,87.01,3.36
539,itoman,75,JP,1562533581,88,26.12,127.67,80.6,4.7
540,newport,100,GB,1562533537,87,51.59,-3.0,64.99,4.7
541,adrar,0,DZ,1562533917,8,27.87,-0.29,104.0,8.05
542,plastun,0,RU,1562533917,72,44.76,136.29,62.88,1.77
543,tiznit,0,MA,1562533477,85,29.7,-9.73,67.01,15.73
544,kanelovskaya,0,RU,1562533917,65,46.59,39.19,63.41,1.54
545,inhambane,0,MZ,1562533917,78,-23.87,35.38,60.69,5.48
546,ayan,17,IR,1562533918,70,38.23,44.7,55.09,5.26
547,kambove,30,CD,1562533918,44,-10.88,26.6,55.95,4.21
548,darnah,0,LY,1562533524,85,32.77,22.64,77.63,19.48
549,tres arroyos,100,AR,1562533918,68,-38.38,-60.28,49.42,10.78
550,meadow lake,75,CA,1562533918,64,54.13,-108.44,71.6,3.36
551,gorontalo,11,ID,1562533919,91,0.54,123.06,72.42,3.56
552,san patricio,13,PY,1562533600,71,-26.98,-56.83,47.44,2.68
553,guarapari,75,BR,1562533576,60,-20.67,-40.5,69.8,20.8
554,muravlenko,100,RU,1562533919,85,63.79,74.5,58.13,4.12
555,joao camara,20,BR,1562533919,83,-5.54,-35.82,78.8,8.05
556,bontang,44,ID,1562533581,99,0.12,117.47,69.81,1.59
557,vilyuysk,46,RU,1562533919,92,63.75,121.63,59.03,1.83
